grocery store code,candid x (longitude),candid y (latitude),name
egs120950522,-81.37079,28.5494,handy market
egs120950523,-81.36483,28.55562,dong a supermarket
egs120950524,-81.35548,28.55288,super oriental market
egs120950525,-81.36313,28.55312,saigon market
egs120950526,-81.36185,28.55299,publix
egs120950527,-81.31055,28.54518,la primiera grocery
egs120950528,-81.31058,28.54981,aladdin's bakery
egs120950529,-81.31354,28.56134,mi bodega latina
egs120950530,-81.30891,28.57648,walmart neighborhood market
egs120950531,-81.30559,28.57891,abumaher international grocery
egs120950532,-81.3101,28.56021,bravo supermarket
egs120950533,-81.31024,28.5452,la primera grocery & meat
egs120950534,-81.32684,28.56645,publix
egs120950535,-81.36558,28.62285,maitland farmers' market
egs120950536,-81.35733,28.59244,the meat house neighborhood butcher & grocer
egs120950537,-81.35696,28.60002,winter perk food mart
egs120950538,-81.36355,28.6233,hollieanna groves
egs120950539,-81.37492,28.59287,lombardi's seafood
egs120950540,-81.36549,28.59812,trader joe's
egs120950541,-81.36368,28.60659,whole foods
egs120950542,-81.36615,28.59152,publix
egs120950543,-81.3082,28.60416,la hacienda
egs120950545,-81.30697,28.59082,albertsons
egs120950546,-81.32192,28.60229,publix
egs120950547,-81.30912,28.60299,europol polish deli
egs120950549,-81.32503,28.60094,sprouts farmers market
egs120950558,-81.4149,28.63436,plaza latina meat market
egs120950578,-81.33972,28.63657,organic products marketplace
egs120950581,-81.36243,28.62892,publix
egs120950604,-81.28822,28.59528,target
egs120950605,-81.27945,28.56818,la mundial market
egs120950607,-81.29549,28.57875,food with care
egs120950608,-81.29323,28.60746,el pueblo mexican grocery
egs120950609,-81.28603,28.56417,international foodmart
egs120950610,-81.28992,28.55507,andrew weiss distribution
egs120950611,-81.2331,28.57093,aldi
egs120950612,-81.28299,28.56869,d'ocean fish market
egs120950613,-81.23055,28.56957,1st spring supermarket
egs120950614,-81.29327,28.60725,ny pizza baby
egs120950615,-81.29866,28.57897,circle r beef
egs120950616,-81.28599,28.57504,tienda jalisco
egs120950617,-81.2312,28.5708,bravo supermarket
egs120950618,-81.25866,28.5672,fish & oriental spices
egs120950619,-81.2884,28.59861,publix
egs120950620,-81.29799,28.60529,aldi
egs120950621,-81.23974,28.56979,green oriental market
egs120950623,-81.27813,28.56776,evan's food mart
egs120950624,-81.29466,28.57501,stop & shop
egs120950625,-81.28963,28.56851,m&m philippine mart
egs120950626,-81.2437,28.59628,indian market
egs120950627,-81.28699,28.58369,compare supermarket
egs120950628,-81.28595,28.55577,evans food mart
egs120950629,-81.27275,28.56869,deguzman oriental food mart
egs120950630,-81.24322,28.59892,publix
egs120950631,-81.20134,28.55225,target
egs120950632,-81.2112,28.59692,chinese grocery
egs120950633,-81.20533,28.5532,waterford lakes farmer's market
egs120950634,-81.19472,28.54853,meats & some more
egs120950635,-81.17497,28.56518,avalon product market
egs120950636,-81.18438,28.55401,greenoriental market
egs120950637,-81.2093,28.56569,lucky
egs120950638,-81.18579,28.56489,eastside asian market
egs120950639,-81.17362,28.56518,sunrise food mart
egs120950640,-81.16419,28.56624,aldi
egs120950641,-81.19696,28.56572,publix
egs120950643,-81.21008,28.59692,sahara knight discount beverage
egs120950644,-81.18362,28.56378,winn-dixie
egs120950645,-81.20138,28.54575,winn-dixie
egs120950647,-81.204,28.56796,publix
egs120950671,-81.11474,28.56487,crave the gourmet shop
egs120950672,-81.10089,28.55152,east colonial farmer's market
egs120950673,-80.99619,28.53677,christmas groceries
egs120950674,-81.13078,28.56219,publix
egs120950675,-81.1397,28.56332,bob's market
egs120970007,-81.31626,28.25516,walmart
egs120970008,-81.48632,28.34219,walmart
egs120970013,-81.4589,28.30235,walmart
egs120970014,-81.5905099999,28.32951,walmart
egs120970016,-81.44818,28.14318,walmart
